date,day,platform,content_type,product,post_file,status
2026-04-01,Wednesday,Instagram + Threads,Educational Tip,Monthly Budget Tracker,scheduled-posts/01-monthly-budget-tracker/educational.txt,scheduled
2026-04-02,Thursday,Pinterest,Pinterest Pins,Annual Financial Overview,scheduled-posts/02-annual-financial-overview/educational.txt,scheduled
2026-04-03,Friday,Instagram + Threads,Data / Results Share,Freelancer Income Tracker,scheduled-posts/03-freelancer-income-tracker/data_results.txt,scheduled
2026-04-04,Saturday,Instagram + Threads,Customer Result / Testimonial,Debt Payoff Planner,scheduled-posts/04-debt-payoff-planner/pain_point_solution.txt,scheduled
2026-04-05,Sunday,—,Rest / Schedule Next Week,—,—,rest
2026-04-06,Monday,Instagram + Threads,Product Showcase,50/30/20 Budget Template,scheduled-posts/05-503020-budget/product_showcase.txt,scheduled
2026-04-07,Tuesday,Pinterest,Pinterest Pins,Small Business P&L,scheduled-posts/06-small-business-pl/product_showcase.txt,scheduled
2026-04-08,Wednesday,Instagram + Threads,Educational Tip,Inventory Manager,scheduled-posts/07-inventory-manager/educational.txt,scheduled
2026-04-09,Thursday,Pinterest,Pinterest Pins,Client CRM Tracker,scheduled-posts/08-client-crm/educational.txt,scheduled
2026-04-10,Friday,Instagram + Threads,Data / Results Share,Annual Habit Tracker,scheduled-posts/09-habit-tracker/data_results.txt,scheduled
2026-04-11,Saturday,Instagram + Threads,Customer Result / Testimonial,Project Management Board,scheduled-posts/10-project-management/pain_point_solution.txt,scheduled
2026-04-12,Sunday,—,Rest / Schedule Next Week,—,—,rest
2026-04-13,Monday,Instagram + Threads,Product Showcase,Monthly Budget Tracker,scheduled-posts/01-monthly-budget-tracker/product_showcase.txt,scheduled
2026-04-14,Tuesday,Pinterest,Pinterest Pins,Annual Financial Overview,scheduled-posts/02-annual-financial-overview/product_showcase.txt,scheduled
2026-04-15,Wednesday,Instagram + Threads,Educational Tip,Freelancer Income Tracker,scheduled-posts/03-freelancer-income-tracker/educational.txt,scheduled
2026-04-16,Thursday,Pinterest,Pinterest Pins,Debt Payoff Planner,scheduled-posts/04-debt-payoff-planner/educational.txt,scheduled
2026-04-17,Friday,Instagram + Threads,Data / Results Share,50/30/20 Budget Template,scheduled-posts/05-503020-budget/data_results.txt,scheduled
2026-04-18,Saturday,Instagram + Threads,Customer Result / Testimonial,Small Business P&L,scheduled-posts/06-small-business-pl/pain_point_solution.txt,scheduled
2026-04-19,Sunday,—,Rest / Schedule Next Week,—,—,rest
2026-04-20,Monday,Instagram + Threads,Product Showcase,Inventory Manager,scheduled-posts/07-inventory-manager/product_showcase.txt,scheduled
2026-04-21,Tuesday,Pinterest,Pinterest Pins,Client CRM Tracker,scheduled-posts/08-client-crm/product_showcase.txt,scheduled
2026-04-22,Wednesday,Instagram + Threads,Educational Tip,Annual Habit Tracker,scheduled-posts/09-habit-tracker/educational.txt,scheduled
2026-04-23,Thursday,Pinterest,Pinterest Pins,Project Management Board,scheduled-posts/10-project-management/educational.txt,scheduled
2026-04-24,Friday,Instagram + Threads,Data / Results Share,Monthly Budget Tracker,scheduled-posts/01-monthly-budget-tracker/data_results.txt,scheduled
2026-04-25,Saturday,Instagram + Threads,Customer Result / Testimonial,Annual Financial Overview,scheduled-posts/02-annual-financial-overview/pain_point_solution.txt,scheduled
2026-04-26,Sunday,—,Rest / Schedule Next Week,—,—,rest
2026-04-27,Monday,Instagram + Threads,Product Showcase,Freelancer Income Tracker,scheduled-posts/03-freelancer-income-tracker/product_showcase.txt,scheduled
2026-04-28,Tuesday,Pinterest,Pinterest Pins,Debt Payoff Planner,scheduled-posts/04-debt-payoff-planner/product_showcase.txt,scheduled
2026-04-29,Wednesday,Instagram + Threads,Educational Tip,50/30/20 Budget Template,scheduled-posts/05-503020-budget/educational.txt,scheduled
2026-04-30,Thursday,Pinterest,Pinterest Pins,Small Business P&L,scheduled-posts/06-small-business-pl/educational.txt,scheduled
